iter	Passed	Remaining
963	65347	2440
964	65435	2373
965	65487	2304
966	65528	2236
967	65560	2167
968	65595	2098
969	65670	2031
970	65708	1962
971	65740	1893
972	65771	1825
973	65849	1757
974	65879	1689
975	65914	1620
976	65951	1552
977	66006	1484
978	66130	1418
979	66180	1350
980	66240	1282
981	66373	1216
982	66422	1148
983	66623	1083
984	66694	1015
985	66744	947
986	66875	880
987	66922	812
988	67025	745
989	67076	677
990	67175	610
991	67209	542
992	67237	473
993	67342	406
994	67429	338
995	67608	271
996	67743	203
997	68014	136
998	68086	68
999	68120	0
